Drive ID,Time,StartLoc,Holiday,Day,NbPassengers,EndLoc
1,7.49,home,FALSE,Monday,1,work
2,8.15,home,FALSE,Monday,1,work
3,19.05,home,TRUE,Saturday,2,other
4,21.45,other,TRUE,Saturday,2,home
5,8.33,home,FALSE,Monday,1,other
6,10.26,home,FALSE,Tuesday,1,work
7,12.49,work,FALSE,Tuesday,1,home
8,16.26,home,FALSE,Tuesday,1,other
9,17.33,other,FALSE,Tuesday,1,home
10,8.01,home,FALSE,Wednesday,1,work
11,19.02,work,FALSE,Wednesday,1,home
12,7.53,home,FALSE,Friday,1,work
13,16.23,work,FALSE,Friday,1,home
14,11.23,home,TRUE,Sunday,2,other
15,13.34,other,TRUE,Sunday,2,home
16,8.01,home,FALSE,Monday,1,work
17,19.02,work,FALSE,Monday,1,home
18,8.06,home,FALSE,Tuesday,1,work
19,18.56,work,FALSE,Tuesday,1,home
20,7.55,home,FALSE,Wednesday,1,work
21,18.59,work,FALSE,Wednesday,1,home
22,7.33,home,FALSE,Thursday,1,work
23,19.01,work,FALSE,Thursday,1,home
24,7.46,home,FALSE,Friday,1,work
25,19.06,work,FALSE,Friday,1,home
26,18.05,home,TRUE,Saturday,1,other
27,19.01,other,TRUE,Saturday,1,home
28,22.43,home,TRUE,Saturday,2,other
29,1.32,other,TRUE,Sunday,2,home
30,8.01,home,FALSE,Monday,1,work
31,19.02,work,FALSE,Monday,1,home
32,8.06,home,FALSE,Tuesday,1,work
33,18.56,work,FALSE,Tuesday,1,home
34,7.55,home,FALSE,Wednesday,1,work
35,18.59,work,FALSE,Wednesday,1,home
36,7.33,home,FALSE,Thursday,1,work
37,19.01,work,FALSE,Thursday,1,home
38,7.46,home,FALSE,Friday,1,work
39,19.06,work,FALSE,Friday,1,home
40,13.36,home,TRUE,Saturday,1,gym
41,15.1,gym,TRUE,Saturday,1,home
42,15.11,home,TRUE,Sunday,1,gym
43,17.29,gym,TRUE,Sunday,1,home
44,11.25,home,TRUE,Sunday,1,other
45,14.36,other,TRUE,Sunday,1,home
46,10.09,home,FALSE,Monday,1,work
47,16.36,work,FALSE,Monday,1,home
48,7.56,home,FALSE,Tuesday,1,work
49,19.01,work,FALSE,Tuesday,1,home
50,7.59,home,FALSE,Wednesday,1,work
